Alloy;No;S_Phase;Phase;a (Å);δ;T_m (K);σT_m (K);ΔH_mix (kJ/mol);σH_mix (kJ/mol);S_id (R);χ;Δχ;VEC;σVEC;Bulk Modulus (GPa);σBulk (GPa);Young's modulus E (GPa);Shear modulus G (GPa);Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ne;Ni;Ns;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Ti;Tl;Tm;V;W;Y;Yb;Zn;Zr
Ni40Cu6Ti16Zr28Al10;5;AM;AM;1,4010;0,107382;1772,4132;348,4803;-42,8112;13,8182;1,4152;1,6578;0,2480;6,7200;3,16885;105,6000;74,1501;132,1200;52,1600;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;28
Ni70Mo5Nb5P14B6;5;AM;AM;1,2094;0,107018;1677,2620;647,7731;-27,8392;7,8523;0,9933;1,9540;0,1341;8,4300;2,45461;160,9800;62,3132;161,7000;61,1000;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0;70;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SrCaYbMgZn;5;AM;AM;1,7648;0,152532;975,5360;156,5351;-13,1200;6,4550;1,6094;1,2020;0,2558;4,2000;3,91918;32,6000;23,9215;39,4000;16,6800;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
TaNbVTiAl0.25;5;SS;BCC;1,4106;0,038324;2446,4394;632,6196;-4,8166;4,8457;1,5285;1,5700;0,0502;4,6471;0,58824;155,0588;37,1333;130,0000;48,1176;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
TaNbVTiAl0.5;5;SS;BCC;1,4118;0,037375;2362,3856;705,7476;-8,3951;6,2132;1,5811;1,5722;0,0496;4,5556;0,68493;150,6667;40,3760;126,6667;46,8889;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
Ti50Cu20Ni24Si4B2;5;AM;AM;1,3482;0,096916;1771,2340;236,6631;-29,8816;11,9045;1,2180;1,7252;0,1862;6,8200;3,24154;134,6800;31,7934;133,8800;49,8400;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0
Ti50Ni20Cu25Sn3Be7;5;AM;AM;1,3593;0,088739;1695,1380;312,6840;-20,9923;9,2215;1,2930;1,7102;0,1818;6,6762;3,41006;130,3238;28,9566;144,8476;56,1714;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;50;0;0;0;0;0;0;0;0
Ti1Zr1Cu1Ni1Be1;5;AM;AM;1,3434;0,125277;1742,9540;271,8621;-30,2400;13,7562;1,6094;1,6500;0,2241;6,2000;3,60000;112,0000;60,4649;160,0000;66,6000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
TiZrHfCuNi;5;AM;AM;1,4334;0,103364;1932,1540;384,5332;-27,3600;13,3170;1,6094;1,5960;0,2655;6,6000;3,20000;108,0000;59,7997;118,2000;46,2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
TiZrNbMoV0.25;5;SS;BCC;1,4555;0,063163;2414,2941;395,2914;-2,6021;2,3470;1,5285;1,6559;0,2979;4,7647;0,80655;129,4118;82,7804;152,7059;58,0588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,25;0;0;0;0;1
